"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-01","8.28",,"0.02","0.6","7.1","20","26","16","   20","  350","17.0","23.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-02","2.01",,"0.00","0.0","7.1","23","24","17","  340","  350","14.1","19.0","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-03","3.58",,"0.00","0.0","7.1","21","23","20","  200","  210","8.9","15.0","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-04","5.82",,"0.02","0.5","5.9","21","29","20","  160","  160","14.1","17.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-05","2.01",,"0.00","0.0","7.1","27","33","15","  290","  290","8.1","13.0","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-06","4.25",,"0.00","0.0","5.9","21","29","16","  120","  130","8.9","12.1","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-07","7.61",,"0.00","0.0","5.9","26","29","21","  340","   10","12.1","16.1","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-08","6.26",,"0.00","0.0","5.9","28","28","25","   10","  360","12.1","15.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-09","3.80",,"0.00","0.0","5.9","26","30","15","  300","  340","8.9","13.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-10","4.47",,"0.00","0.0","5.9","21","24","18","  350","  350","10.1","13.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-11","7.38",,"0.00","0.0","5.9","23","31","18","  200","  220","16.1","27.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-12","3.36",,"0.00","0.0","5.9","27","35","18","  210","  270","8.1","13.0","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-13","2.91",,"0.00","0.0","5.9","32","39","27","  170","  220","8.9","11.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-14","8.05",,"0.21","1.1","5.1","32","35","25","  160","  150","15.0","19.0","    1",,,"    1",,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-15","7.16",,"0.08","1.1","5.9","33","35","32","  160","  150","15.0","19.9","    1",,,,"    1",,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-16","7.38",,"0.04","0.3","5.9","33","35","30","  340","  350","13.0","19.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-17","4.03",,"0.02","0.5","5.1","29","30","27","  350","  350","12.1","16.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-18","4.47",,"0.00","0.0","5.1","26","28","18","  320","  310","12.1","19.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-19","5.37",,"0.06","1.8","5.1","22","27","11","  320","  340","18.1","29.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-20","8.50",,"0.00","0.0","7.1","15","34","5","  190","  180","23.0","38.0",,,,,,,"    1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-21","9.62",,"0.00","0.0","5.9","34","39","18","  320","  280","21.0","34.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-22","7.61",,"0.00","0.0","5.1","16","18","4","  330","  350","16.1","25.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-23","4.92",,"0.01","0.1","5.1","9","22","0","  170","  160","13.0","16.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-24","5.37",,"0.12","1.5","7.1","24","29","7","  170","  160","16.1","19.9","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-25","10.74",,"0.03","0.3","7.1","13","21","4","   30","   40","23.0","32.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-26","13.87",,"0.24","4.8","9.1","20","25","7","   20","   10","25.1","36.0","    1",,,,,,"    1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-27","4.92",,"0.00","0.0","9.8","13","20","-2","   20","  340","13.0","17.0","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-28","1.12",,"0.00","0.0","9.8","5","20","-7","  160","  320","6.0","8.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-29","6.93",,"0.00","0.0","9.8","13","26","2","  130","  130","16.1","21.9",,,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-30","16.11",,"0.29","2.8","9.8","28","32","25","   80","   80","23.9","31.1","    1",,,,"    1",,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-01-31","12.75",,"0.13","1.6","9.8","29","30","22","   80","   80","19.9","25.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-01","5.59",,"0.00","0.0","9.8","23","32","9","  350","  360","14.1","19.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-02","4.70",,"0.00","0.0","9.8","24","31","5","   20","   30","13.0","15.0","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-03","6.04",,"0.00","0.0","9.8","14","29","-1","  170","  170","17.0","23.0","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-04","12.75",,"0.33","3.5","9.8","29","32","15","  300","  300","21.9","36.9","    1","    1",,"    1","    1",,"    1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-05","8.50",,"0.00","0.0","13.0","13","15","3","  280","  280","16.1","29.1","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-06","6.04",,"0.00","0.0","13.0","4","8","-7","  290","  280","14.1","21.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-07","4.92",,"0.00","0.0","13.0","-6","0","-15","  290","  320","12.1","17.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-08","2.46",,"0.01","0.2","13.0","0","5","-10","  350","  360","8.9","12.1",,,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-09","2.24",,"0.00","0.0","13.0","-4","10","-18","  300","  290","8.9","13.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-10","2.24",,"0.00","0.0","11.8","1","11","-11","  320","  300","8.1","12.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-11","6.26",,"0.10","1.5","13.0","-1","6","-11","  350","  350","13.0","17.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-12","8.72",,"0.03","0.3","13.0","2","5","-3","  340","  330","15.0","21.0","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-13","8.05",,"0.12","2.0","13.0","-2","2","-9","  320","  330","14.1","21.9",,,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-14","8.95",,"0.00","0.0","15.0","-7","-2","-12","  340","  330","15.0","23.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-15","11.41",,"0.00","0.0","15.0","-5","3","-12","   20","   20","23.0","27.1",,,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-16","6.04",,"0.03","0.4","15.0","6","17","-8","   10","  360","17.0","21.9",,,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-17","2.24",,"0.00","0.0","14.2","2","18","-14","  190","  170","8.9","13.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-18","3.36",,"0.00","0.0","14.2","13","25","7","   10","   10","12.1","14.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-19","4.03",,"0.00","0.0","14.2","15","20","4","  300","  290","13.0","19.9",,,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-20","4.92",,"0.00","0.0","13.0","8","22","-6","  180","  180","15.0","21.9","    1",,,,,"    1",
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-21","8.28",,"0.24","2.4","13.0","22","31","17","  130","  130","17.0","23.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-22","8.50",,"0.00","0.1","16.1","29","37","24","  220","  230","15.0","25.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-23","6.93",,"0.00","0.0","14.2","38","46","34","  160","  280","12.1","19.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-24","5.59",,"0.00","0.0","11.8","37","40","20","  350","  340","16.1","25.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-25","4.03",,"0.00","0.0","11.0","29","41","17","  300","  270","13.0","21.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-26","8.95",,"0.00","0.0","11.0","30","39","19","  170","  180","23.9","31.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-27","4.70",,"0.00","0.0","11.0","36","46","25","  180","  180","14.1","17.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-02-28","7.16",,"0.00","0.0","9.8","34","40","25","  310","  310","18.1","30.0","    1","    1",,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-01","6.93",,"0.00","0.0","9.0","26","29","14","  340","  360","17.0","23.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-02","8.05",,"0.00","0.0","8.0","23","39","12","  200","  230","19.9","30.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-03","2.91",,"0.00","0.0","8.0","37","51","23","  320","  340","8.9","12.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-04","6.26",,"0.00","0.0","6.0","32","34","20","   50","   50","16.1","19.9","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-05","2.24",,"0.00","0.0","6.0","29","46","17","  340","  340","10.1","15.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-06","1.79",,"0.00","0.0","6.0","33","45","20","  120","  330","6.9","10.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-07","8.72",,"0.00","0.0","6.0","31","44","17","  170","  170","21.9","28.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-08","4.92",,"0.00","0.0","3.0","47","62","34","  190","  190","13.0","19.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-09","9.84",,"0.00","0.0","1.0","43","61","30","  180","  160","23.9","33.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-10","14.54",,"0.06","0.0","0.0","54","61","48","  190","  200","23.9","36.9","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-11","8.72",,"0.00","0.0","0.0","47","56","34","  270","  220","19.9","36.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-12","4.70",,"0.00","0.0","0.0","40","49","25","  330","  330","18.1","28.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-13","2.24",,"0.00","0.0","0.0","37","59","22","  260","  280","12.1","18.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-14","12.08",,"0.00","0.0","0.0","40","47","27","   60","   90","23.0","31.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-15","13.42",,"0.22","2.0","0.0","31","34","27","   90","   90","23.9","32.0","    1","    1",,,,,"    1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-16","3.36",,"0.00","0.0","1.0","31","35","29","   80","   80","8.9","11.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-17","9.40",,"0.17","0.0","0.0","33","34","32","   30","   30","17.0","25.1","    1",,,"    1",,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-18","19.69",,"0.00","0.0","0.0","37","46","30","   40","   50","33.1","45.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-19","6.26",,"0.00","0.0","0.0","36","51","22","   90","   90","13.0","18.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-20","8.05",,"0.00","0.0","0.0","40","57","26","  170","  180","18.1","23.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-21","12.53",,"0.00","0.0","0.0","48","63","34","  170","  170","25.1","34.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-22","6.93",,"0.00","0.0","0.0","53","59","44","  170","  190","16.1","23.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-23","8.05",,"0.65","0.0","0.0","49","61","39","  110","  120","19.9","27.1","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-24","11.63",,"0.10","0.0","0.0","50","53","43","  170","  210","21.9","32.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-25","9.40",,"0.01","0.0","0.0","43","45","34","   40","   40","21.9","28.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-26","5.37",,"0.01","0.0","0.0","37","47","31","   10","   20","15.0","19.9",,,,,"    1",,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-27","5.82",,"0.19","0.0","0.0","42","49","38","  290","  280","14.1","23.9","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-28","11.18",,"0.00","0.0","0.0","40","43","26","  320","  320","25.9","42.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-29","16.78",,"0.00","0.0","0.0","42","65","26","  180","  190","31.1","50.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-30","12.08",,"0.00","0.0","0.0","54","59","36","  190","  180","21.0","33.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-03-31","10.51",,"0.00","0.0","0.0","36","40","27","  320","  330","18.1","28.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-01","5.82",,"0.00","0.0","0.0","30","40","19","   10","   10","19.9","25.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-02","10.96",,"0.00","0.0","0.0","35","50","25","  170","  170","23.9","34.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-03","6.04",,"0.00","0.0","0.0","50","72","40","  190","  190","16.1","23.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-04","8.05",,"0.00","0.0","0.0","54","75","34","  170","  190","21.9","30.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-05","9.17",,"0.00","0.0","0.0","65","76","58","  190","  180","21.9","30.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-06","7.38",,"0.00","0.0","0.0","67","79","58","  200","  200","15.0","21.9",,,"    1",,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-07","8.50",,"0.12","0.0","0.0","66","78","55","  170","  180","19.9","25.9","    1",,"    1",,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-08","10.07",,"0.38","0.0","0.0","61","63","46","  170","  170","21.0","25.9","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-09","8.50",,"0.07","0.0","0.0","51","58","48","  190","  170","16.1","23.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-10","10.96",,"0.55","0.0","0.0","51","54","48","  360","   20","21.0","28.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-11","8.28",,"0.31","0.0","0.0","51","56","49","  360","   10","19.9","28.0","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-12","5.37",,"0.00","0.0","0.0","51","57","37","  230","  230","15.0","28.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-13","7.61",,"0.00","0.0","0.0","42","48","36","  310","  310","16.1","25.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-14","7.61",,"0.00","0.0","0.0","38","40","33","  310","  330","14.1","23.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-15","8.05"," 0756","0.00","0.0","0.0","41","48","34","  340","  330","19.9","27.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-16","6.04",,"0.00","0.0","0.0","45","61","30","   10","  360","15.0","21.9",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-17","4.25",,"0.00","0.0","0.0","46","59","30","  330","   10","13.0","19.9","    1",,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-18","4.25",,"0.00","0.0",,"48","61","35","  310","  260","13.0","19.0",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-19","9.62",,"0.00","0.0","0.0","45","51","33","  330","  340","19.9","31.1",,,,,,,
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2021-04-20","3.36",,"0.00","0.0","0.0","36","42","28","  340","  340","12.1","18.1",,,,,,,
